review,label
"Very disappointed with the product.",negative
"Poor quality and not worth the money.",negative
"Stopped working after a few days.",negative
"Performance is very bad.",negative
"Does not match the description.",negative
"Complete waste of money.",negative
"Build quality is extremely poor.",negative
"Received a damaged item.",negative
"Not satisfied at all.",negative
"Totally useless and unreliable.",negative
"Product keeps lagging frequently.",negative
"Very cheap materials used.",negative
"Bad experience, would not recommend.",negative
"Didn't work as expected.",negative
"Battery drains too quickly.",negative
"Product feels very flimsy.",negative
"Customer support was unhelpful.",negative
"Overall a terrible purchase.",negative
"Regret buying this product.",negative
"Does not function properly at all.",negative
