review,label
"The product is okay, nothing special.",neutral
"Works as expected, average performance.",neutral
"It's neither good nor bad, just okay.",neutral
"Quality is fine for the price.",neutral
"Nothing exceptional, but usable.",neutral
"Packaging was decent, product works fine.",neutral
"Expected a bit more but it's acceptable.",neutral
"Normal product, does the job.",neutral
"Performance is fair but could be better.",neutral
"Not too good, not too bad.",neutral
"Average experience overall.",neutral
"It's usable but not impressive.",neutral
"Neutral experience, nothing to praise.",neutral
"Product works but lacks finish.",neutral
"Acceptable for basic use.",neutral
"Neither disappointing nor exciting.",neutral
"It functions fine for simple tasks.",neutral
"Quality is just average.",neutral
"Okay product for everyday use.",neutral
"Nothing noteworthy to mention.",neutral
